,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs
22832,9556,2017-04-01,WHV,Heat,RowData2017.csv,4,"['TEX', 'WISC', 'UCLA', 'UVIC', 'UCSB']",San Diego Crew Classic,1.0,UVIC,06:41.7,6,41.7,401.7
22833,9556,2017-04-01,WHV,Heat,RowData2017.csv,5,"['TEX', 'WISC', 'UCLA', 'UVIC', 'UCSB']",San Diego Crew Classic,1.0,UCSB,06:58.1,6,58.1,418.1
22834,9557,2017-04-01,WHV,Heat,RowData2017.csv,1,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,UCSD,07:01.0,7,1.0,421.0
22835,9557,2017-04-01,WHV,Heat,RowData2017.csv,2,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,GV,07:04.6,7,4.6,424.6
22836,9557,2017-04-01,WHV,Heat,RowData2017.csv,3,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,OC,07:16.7,7,16.7,436.7
22837,9557,2017-04-01,WHV,Heat,RowData2017.csv,4,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,UCDV,07:20.5,7,20.5,440.5
22838,9557,2017-04-01,WHV,Heat,RowData2017.csv,5,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,CHAP,07:51.7,7,51.7,471.7
22839,9557,2017-04-01,WHV,Heat,RowData2017.csv,6,"['UCSD', 'GV', 'OC', 'UCDV', 'CHAP', 'CSLB']",San Diego Crew Classic,1.0,CSLB,08:18.9,8,18.9,498.9
22840,9558,2017-04-01,WHV,Heat,RowData2017.csv,1,"['STAN#', 'SDSU', 'SACS', 'SMU', 'VILN']",San Diego Crew Classic,1.0,STAN#,06:47.6,6,47.6,407.6
22841,9558,2017-04-01,WHV,Heat,RowData2017.csv,2,"['STAN#', 'SDSU', 'SACS', 'SMU', 'VILN']",San Diego Crew Classic,1.0,SDSU,06:55.2,6,55.2,415.2
22842,9558,2017-04-01,WHV,Heat,RowData2017.csv,3,"['STAN#', 'SDSU', 'SACS', 'SMU', 'VILN']",San Diego Crew Classic,1.0,SACS,06:57.4,6,57.4,417.4
22843,9558,2017-04-01,WHV,Heat,RowData2017.csv,4,"['STAN#', 'SDSU', 'SACS', 'SMU', 'VILN']",San Diego Crew Classic,1.0,SMU,07:03.5,7,3.5,423.5
22844,9558,2017-04-01,WHV,Heat,RowData2017.csv,5,"['STAN#', 'SDSU', 'SACS', 'SMU', 'VILN']",San Diego Crew Classic,1.0,VILN,07:18.6,7,18.6,438.6
22845,9559,2017-04-01,MHV,Final,RowData2017.csv,1,"['DART', 'HC']",Dartmouth vs. Holy Cross,2000.0,DART,06:58.1,6,58.1,418.1
22846,9559,2017-04-01,MHV,Final,RowData2017.csv,2,"['DART', 'HC']",Dartmouth vs. Holy Cross,2000.0,HC,07:30.8,7,30.8,450.8
22847,9560,2017-04-01,MHV,Final,RowData2017.csv,1,"['DART', 'COLU']",Columbia vs. Dartmouth,2000.0,DART,06:51.5,6,51.5,411.5
